KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001104001,T001104002,T001104003,T001104004,T001104005,T001104006,T001104007,T001104008,T001104009,T001104010,T001104011,T001104012,T001104013
,,,,,,,総数,Ａ管理的職業従事者,Ｂ専門的・技術的職業従事者,Ｃ事務従事者,Ｄ販売従事者,Ｅサービス職業従事者,Ｆ保安職業従事者,Ｇ農林漁業従事者,Ｈ生産工程従事者,Ｉ輸送・機械運転従事者,Ｊ建設・採掘従事者,Ｋ運搬・清掃・包装等従事者,Ｌ分類不能の職業
14101,1,横浜市鶴見区,,0,,,137273,2511,29029,32028,18261,14486,1745,280,13440,4606,6361,9862,4664
141010010,2,横浜市鶴見区,大黒町,0,,,18,-,2,-,-,-,-,-,1,-,4,-,11
141010030,3,横浜市鶴見区,生麦,0,,,6522,76,1174,1389,777,697,130,9,786,246,275,631,332
14101003001,4,横浜市鶴見区,生麦一丁目,1,,3002,1044,9,176,191,95,100,29,2,182,34,40,98,88
14101003002,4,横浜市鶴見区,生麦二丁目,2,3001,,X,X,X,X,X,X,X,X,X,X,X,X,X
14101003003,4,横浜市鶴見区,生麦三丁目,0,,,1821,23,339,379,186,203,40,5,193,68,97,200,88
14101003004,4,横浜市鶴見区,生麦四丁目,0,,,2087,20,380,490,278,223,31,1,232,79,87,184,82
14101003005,4,横浜市鶴見区,生麦五丁目,0,,,1570,24,279,329,218,171,30,1,179,65,51,149,74
141010080,3,横浜市鶴見区,岸谷,0,,,5448,80,1183,1353,760,565,80,8,527,173,162,411,146
14101008001,4,横浜市鶴見区,岸谷一丁目,0,,,1148,18,275,260,169,112,17,3,121,32,25,90,26
14101008002,4,横浜市鶴見区,岸谷二丁目,0,,,937,7,204,230,123,102,15,-,91,36,31,77,21
14101008003,4,横浜市鶴見区,岸谷三丁目,0,,,1826,31,374,479,247,192,24,4,171,57,51,146,50
14101008004,4,横浜市鶴見区,岸谷四丁目,0,,,1537,24,330,384,221,159,24,1,144,48,55,98,49
141010120,3,横浜市鶴見区,鶴見,0,,,1738,23,506,448,223,204,19,-,120,33,28,76,58
14101012001,4,横浜市鶴見区,鶴見一丁目,0,,,1211,20,319,351,175,115,9,-,93,23,22,53,31
14101012002,4,横浜市鶴見区,鶴見二丁目,0,,,527,3,187,97,48,89,10,-,27,10,6,23,27
141010140,3,横浜市鶴見区,寺谷,0,,,2338,65,653,646,303,214,22,5,144,50,55,92,89
14101014001,4,横浜市鶴見区,寺谷一丁目,0,,,1183,30,360,329,147,113,10,2,72,21,25,45,29
14101014002,4,横浜市鶴見区,寺谷二丁目,0,,,1155,35,293,317,156,101,12,3,72,29,30,47,60
141010160,2,横浜市鶴見区,諏訪坂,0,,,881,34,204,220,117,93,8,-,69,19,38,48,31
141010170,2,横浜市鶴見区,豊岡町,0,,,2868,83,850,802,370,199,18,3,200,47,69,111,116
141010180,2,横浜市鶴見区,佃野町,0,,,2402,35,618,600,341,262,22,1,196,62,83,131,51
141010190,3,横浜市鶴見区,馬場,0,,,7417,157,1399,1647,1074,869,142,26,708,269,393,520,213
14101019001,4,横浜市鶴見区,馬場一丁目,0,,,1057,17,186,203,159,136,19,5,88,58,62,77,47
14101019002,4,横浜市鶴見区,馬場二丁目,0,,,1233,21,250,272,166,145,11,5,129,56,65,70,43
14101019003,4,横浜市鶴見区,馬場三丁目,0,,,1257,35,225,282,184,160,24,7,124,45,70,74,27
14101019004,4,横浜市鶴見区,馬場四丁目,0,,,1195,29,231,256,167,138,48,5,106,28,64,96,27
14101019005,4,横浜市鶴見区,馬場五丁目,0,,,840,14,147,179,128,104,16,2,84,25,37,80,24
14101019006,4,横浜市鶴見区,馬場六丁目,0,,,782,22,140,185,115,75,13,1,71,27,40,71,22
14101019007,4,横浜市鶴見区,馬場七丁目,0,,,1053,19,220,270,155,111,11,1,106,30,55,52,23
141010260,3,横浜市鶴見区,北寺尾,0,,,7641,192,1556,1821,1077,816,85,32,748,258,353,522,181
14101026001,4,横浜市鶴見区,北寺尾一丁目,0,,,964,40,192,249,125,100,7,4,94,23,40,68,22
14101026002,4,横浜市鶴見区,北寺尾二丁目,0,,,732,26,144,198,113,67,6,1,71,17,26,52,11
14101026003,4,横浜市鶴見区,北寺尾三丁目,0,,,898,20,164,206,135,106,8,2,83,33,45,71,25
14101026004,4,横浜市鶴見区,北寺尾四丁目,0,,,1071,34,282,270,143,105,9,1,80,24,39,50,34
14101026005,4,横浜市鶴見区,北寺尾五丁目,0,,,1055,21,224,247,155,122,13,7,100,29,45,71,21
14101026006,4,横浜市鶴見区,北寺尾六丁目,0,,,1368,30,241,295,197,138,23,1,176,51,85,96,35
14101026007,4,横浜市鶴見区,北寺尾七丁目,0,,,1553,21,309,356,209,178,19,16,144,81,73,114,33
141010331,3,横浜市鶴見区,獅子ケ谷,0,,,3180,90,551,621,475,368,33,18,319,151,190,247,117
14101033101,4,横浜市鶴見区,獅子ケ谷一丁目,0,,,2061,64,392,430,305,247,16,6,195,86,110,142,68
14101033102,4,横浜市鶴見区,獅子ケ谷二丁目,0,,,859,19,126,142,132,92,12,5,103,47,58,75,48
14101033103,4,横浜市鶴見区,獅子ケ谷三丁目,0,,,260,7,33,49,38,29,5,7,21,18,22,30,1
141010341,3,横浜市鶴見区,駒岡,0,,,7279,153,1239,1499,976,876,85,37,845,312,438,591,228
14101034101,4,横浜市鶴見区,駒岡一丁目,0,,,1432,33,253,300,176,196,20,-,158,62,72,127,35
14101034102,4,横浜市鶴見区,駒岡二丁目,0,,,660,8,110,124,88,72,8,1,101,34,41,41,32
14101034103,4,横浜市鶴見区,駒岡三丁目,0,,,1525,43,226,323,214,184,10,15,179,69,104,117,41
14101034104,4,横浜市鶴見区,駒岡四丁目,0,,,2401,48,441,503,326,285,31,18,248,91,140,187,83
14101034105,4,横浜市鶴見区,駒岡五丁目,0,,,1261,21,209,249,172,139,16,3,159,56,81,119,37
141010350,3,横浜市鶴見区,上末吉,0,,,4370,67,757,898,602,499,48,6,516,202,240,385,150
14101035001,4,横浜市鶴見区,上末吉一丁目,0,,,1117,22,214,230,158,115,15,1,134,38,60,88,42
14101035002,4,横浜市鶴見区,上末吉二丁目,0,,,1065,11,203,246,153,121,12,2,117,44,50,81,25
14101035003,4,横浜市鶴見区,上末吉三丁目,0,,,526,4,105,107,53,52,9,-,70,26,26,57,17
14101035004,4,横浜市鶴見区,上末吉四丁目,0,,,637,5,86,121,93,72,7,-,88,29,36,72,28
14101035005,4,横浜市鶴見区,上末吉五丁目,0,,,1025,25,149,194,145,139,5,3,107,65,68,87,38
141010400,3,横浜市鶴見区,下末吉,0,,,6373,105,1250,1335,842,800,74,9,625,212,294,516,311
14101040001,4,横浜市鶴見区,下末吉一丁目,0,,,944,20,164,222,126,116,15,-,110,30,42,71,28
14101040002,4,横浜市鶴見区,下末吉二丁目,0,,,949,14,170,218,123,144,15,-,93,39,35,75,23
14101040003,4,横浜市鶴見区,下末吉三丁目,0,,,702,7,125,125,88,100,8,1,66,30,58,74,20
14101040004,4,横浜市鶴見区,下末吉四丁目,0,,,739,6,135,143,113,79,10,1,67,28,43,77,37
14101040005,4,横浜市鶴見区,下末吉五丁目,0,,,1691,32,335,377,221,217,12,5,178,50,62,129,73
14101040006,4,横浜市鶴見区,下末吉六丁目,0,,,1348,26,321,250,171,144,14,2,111,35,54,90,130
141010460,3,横浜市鶴見区,梶山,0,,,2423,85,420,500,312,304,29,7,258,113,163,166,66
14101046001,4,横浜市鶴見区,梶山一丁目,1,,480,925,22,133,189,118,117,4,2,112,59,63,76,30
14101046002,4,横浜市鶴見区,梶山二丁目,0,,,1498,63,287,311,194,187,25,5,146,54,100,90,36
141010480,2,横浜市鶴見区,三ツ池公園,2,46001,,X,X,X,X,X,X,X,X,X,X,X,X,X
141010490,2,横浜市鶴見区,江ケ崎町,0,,,3807,41,875,909,561,398,42,6,370,140,148,246,71
141010500,3,横浜市鶴見区,矢向,0,,,10559,140,2572,2378,1366,1085,172,20,1013,383,448,685,297
14101050001,4,横浜市鶴見区,矢向一丁目,0,,,3136,41,710,729,420,358,77,8,310,109,118,195,61
14101050002,4,横浜市鶴見区,矢向二丁目,0,,,903,17,245,201,121,63,13,2,89,35,25,63,29
14101050003,4,横浜市鶴見区,矢向三丁目,0,,,2098,21,500,470,228,211,38,6,202,110,106,136,70
14101050004,4,横浜市鶴見区,矢向四丁目,0,,,1812,30,486,379,236,187,21,1,156,54,86,116,60
14101050005,4,横浜市鶴見区,矢向五丁目,0,,,1714,16,411,411,248,176,17,1,163,52,76,100,43
14101050006,4,横浜市鶴見区,矢向六丁目,0,,,896,15,220,188,113,90,6,2,93,23,37,75,34
141010560,2,横浜市鶴見区,市場上町,0,,,1446,34,333,361,230,151,14,-,118,27,51,86,41
141010570,2,横浜市鶴見区,市場東中町,0,,,530,12,116,98,74,61,4,1,47,16,30,45,26
141010580,2,横浜市鶴見区,市場西中町,0,,,667,6,139,145,87,73,9,-,66,22,30,53,37
141010590,2,横浜市鶴見区,市場下町,0,,,1480,18,299,399,219,123,18,3,174,54,51,86,36
141010600,2,横浜市鶴見区,市場大和町,0,,,1009,16,209,218,125,125,11,4,106,29,47,93,26
141010610,2,横浜市鶴見区,市場富士見町,0,,,796,16,180,210,97,81,10,-,71,20,39,56,16
141010620,3,横浜市鶴見区,尻手,0,,,5377,83,1427,1516,740,482,67,4,444,123,122,260,109
14101062001,4,横浜市鶴見区,尻手一丁目,0,,,2818,44,801,806,391,237,35,3,222,58,59,122,40
14101062002,4,横浜市鶴見区,尻手二丁目,0,,,1112,11,290,280,136,121,17,1,108,23,34,64,27
